q1,q2,q3,q4,q5
-0.270002435,2.377670356,-2.932971433,-0.690801318,0.692808447
-0.155770636,2.951379204,-3.054155922,-0.143466065,2.504198411
-0.142418867,2.954447166,-3.020408343,-0.142069801,2.504198411
-0.140935337,2.949845223,-2.971320955,-0.142069801,2.526451359
-0.194342412,2.940641338,-2.87468016,-0.142069801,2.536836068
-0.315991861,2.916097644,-2.894621911,-0.171391333,2.584309023
-0.489564855,2.897689873,-2.906893758,-0.227241869,2.686672584
-0.715061395,2.880816084,-2.939107357,-0.288328392,2.783102025
-0.959843822,2.886952007,-3.002000573,-0.356396233,2.8365091
-1.217978019,2.911495701,-3.051087961,-0.409105177,2.84095969
-1.458309857,2.929903472,-3.121651081,-0.449945881,2.84095969
-1.663036978,2.940641338,-3.19068022,-0.511032405,2.753431428
-1.832159382,2.948311242,3.044952037,-0.600393263,2.702991413
-1.96567707,2.951379204,3.008136496,-0.634601716,2.714859651
-2.023534735,2.949845223,2.968252993,-0.642630231,2.677771405
-2.005732376,2.946777261,2.94524328,-0.640535835,2.738596129
-1.888533517,2.94524328,3.012738439,-0.590968485,2.743046719
-1.714960523,2.931437452,3.057223884,-0.533023554,2.817223212
-1.514683991,2.929903472,-3.193748182,-0.471587964,2.879531466
-1.30550628,2.906893758,-3.163068565,-0.393048148,2.904751474
-1.062207383,2.85780637,3.061825827,-0.360934089,2.907718534
-0.807040246,2.845534523,3.026544267,-0.302989158,2.943323251
-0.562257819,2.865476275,-3.201418086,-0.241204503,2.955191489
-0.314508331,2.890019969,3.054155922,-0.182212374,3.066456229
-0.069725904,2.922233567,3.040350095,-0.098785636,3.100577416
0.172089464,2.954447166,-3.147728756,-0.039793507,3.018983274
0.354563638,2.975922898,-3.10170933,-0.002443461,2.94925737
0.474729557,-3.287321015,-3.048019999,-0.002792527,2.974477378
0.504400154,-3.281185092,-3.008136496,-0.002792527,2.924037362
0.384234235,-3.298058882,-3.057223884,-0.002792527,2.873597347
0.169122405,2.942175319,-3.161534584,-0.007330383,2.894366765
-0.060824724,2.879282103,-3.126253024,-0.07819075,2.876564407
-0.283354204,2.828660734,-2.957515127,-0.240855437,3.081291528
-0.569675468,2.796447135,-2.890019969,-0.366868209,3.217776275
-0.899019098,2.773437422,-2.942175319,-0.405963584,3.213325686
-1.209076839,2.770369461,-3.043418056,-0.500909495,3.153984491
-1.480562804,2.759631594,-3.132388947,-0.594110077,3.103544476
-1.692707575,2.745825767,3.071029712,-0.723962574,2.895850295
-1.838093502,2.71668013,3.011204458,-0.884881931,2.682221994
-1.927105294,2.676796627,2.969786974,-1.045801288,2.685189054
-1.947874712,2.667592742,2.911495701,-1.110029404,2.751947898
-1.913753525,2.66452478,2.923767548,-1.016479756,2.751947898
-1.781719367,2.66452478,2.932971433,-0.848928148,2.771233786
-1.559189887,2.669126723,3.041884075,-0.707556479,2.921070303
-1.280286273,2.672194685,-3.081767578,-0.609119909,2.986345617
-0.992481479,2.692136436,-2.911495701,-0.53162729,3.087225647
-0.710610805,2.701340321,-2.811786944,-0.45762533,3.125797424
-0.391651884,2.718214111,-2.725884015,-0.432143523,3.158435081
-0.083077672,2.765767518,-2.574019909,-0.36756634,3.263765701
0.203243591,2.844000543,-2.389942203,-0.368962604,3.336458665
0.424289541,2.919165605,-2.29636937,-0.396887872,3.438822225
0.583027237,-3.291922958,-2.133767397,-0.441917367,3.538218726
0.640884901,-3.258175379,-1.92821396,-0.515221195,3.613878749
0.584510766,-3.29499092,-1.96349552,-0.536863278,3.566405794
0.393135414,2.899223854,-2.15677711,-0.486946861,3.49371283
0.139451807,2.816388887,-2.368466471,-0.450294947,3.449206934
-0.160221225,2.745825767,-2.549476215,-0.445757091,3.394316329
-0.491048385,2.698272359,-2.741223824,-0.46181412,3.315689246
-0.827809664,2.689068474,-2.867010256,-0.507192681,3.244479813
-1.139350936,2.702874302,-2.994330668,-0.565835743,3.145083312
-1.396001602,2.695204398,-3.10170933,-0.659385391,3.035302102
-1.611113433,2.672194685,3.078699616,-0.78819069,2.855794989
-1.793587606,2.659922838,2.995864649,-0.953647903,2.763816137
-1.924138234,2.644583029,2.917631625,-1.113869129,2.725244361
-1.955292361,2.64611701,2.929903472,-1.250702942,2.72821142
-1.884082928,2.618505354,2.966719013,-1.265014642,2.855794989
-1.657102858,2.572485928,-3.199884106,-1.136907475,2.848377339
-1.317374519,2.498854846,-3.104777291,-0.931656755,2.924037362
-0.9835803,2.500388826,-2.952913185,-0.728849496,3.018983274
-0.713577865,2.554078157,-2.854738409,-0.550825912,3.091676237
-0.471762497,2.635379144,-2.805651021,-0.477522083,3.208875096
-0.318958921,2.692136436,-2.899223854,-0.380132711,3.251897462
-0.201760062,2.755029652,-3.107845253,-0.288328392,3.317172776
-0.056374135,2.8393986,3.012738439,-0.197222205,3.327557485
0.118682389,2.882350064,3.057223884,-0.134739418,3.27266688
0.290771853,2.923767548,-3.028078248,-0.13962634,3.271183351
0.43912484,2.952913185,-2.845534523,-0.188146493,3.376513971
0.445058959,2.960583089,-2.771903441,-0.225147474,3.398766919
0.298189503,2.917631625,-2.834796657,-0.244695161,3.400250449
0.066758844,2.834796657,-2.899223854,-0.29356438,3.240029223
-0.229947129,2.758097614,-2.934505414,-0.380830843,3.201457447
-0.538521341,2.696738379,-2.985126783,-0.473333293,3.121346834
-0.855996732,2.64611701,-3.046486018,-0.613308699,2.974477378
-1.136383876,2.564816023,-3.051087961,-0.820304748,2.928487952
-1.397485132,2.47124319,-3.04955398,-0.981922237,2.716343181
-1.584409895,2.417553859,-3.06796175,-1.225221135,2.478978403
-1.676388747,2.408349974,-3.066427769,-1.448623279,2.441890156
-1.673421687,2.409883955,-3.01427242,-1.651430538,2.410736029
-1.571058126,2.385340261,-2.982058821,-1.684242728,2.600627852
-1.42270514,2.359262586,-2.99739863,-1.499586893,2.502714881
